o_orderkey|o_custkey|o_orderstatus|o_totalprice|o_orderdate|o_orderpriority|o_clerk|o_shippriority|o_comment|l_orderkey|l_partkey|l_suppkey|l_linenumber|l_quantity|l_extendedprice|l_discount|l_tax|l_returnflag|l_linestatus|l_shipdate|l_commitdate|l_receiptdate|l_shipinstruct|l_shipmode|l_comment
21542|7933|P|148397.90|1995-05-22|2-HIGH|Clerk#000000563|0|eposits wake blithely packages. carefully even requests use care|21542|13802|803|5|9.00|15442.20|0.03|0.01|N|O|1995-06-23|1995-06-28|1995-06-30|TAKE BACK RETURN|RAIL|en theodolites nag. slyly bol
21635|7039|F|85941.17|1994-12-03|5-LOW|Clerk#000000039|0|riously bold instructions sleep care|21635|11730|253|2|13.00|21342.49|0.06|0.01|A|F|1994-12-15|1995-01-02|1995-01-06|NONE|AIR| fluffily silent ideas cajole furiou
21731|14141|O|135513.41|1995-11-27|5-LOW|Clerk#000000363|0| accounts. furiously regular theodolites among the blithely r|21731|16057|324|3|33.00|32110.65|0.06|0.08|N|O|1995-12-30|1996-01-10|1996-01-12|TAKE BACK RETURN|RAIL|counts. ironic excuses wake 
22017|9979|F|85552.28|1994-12-24|3-MEDIUM|Clerk#000000427|0|yly alongside of the carefully ironic packages.|22017|19231|770|1|37.00|42558.51|0.08|0.08|R|F|1995-03-02|1995-03-06|1995-03-12|TAKE BACK RETURN|RAIL|y ironic re
22211|12359|O|215097.30|1995-10-04|4-NOT SPECIFIED|Clerk#000000824|0| furiously packages. slyly ironic theodolites haggle slyly unusual foxes? fl|22211|10757|538|3|3.00|5003.25|0.07|0.06|N|O|1995-12-14|1995-12-31|1996-01-13|DELIVER IN PERSON|AIR|s grow. foxes shall sleep
22532|5971|F|54887.64|1995-02-09|1-URGENT|Clerk#000000907|0|ust have to sleep about th|22532|17189|991|3|9.00|9955.62|0.07|0.02|R|F|1995-04-03|1995-04-21|1995-05-02|COLLECT COD|AIR|nding theodolites. excu
22533|4360|O|151060.62|1995-11-29|1-URGENT|Clerk#000000741|0|r pinto beans sleep furiously at the regular instructions. slyl|22533|359|860|5|31.00|39039.85|0.05|0.06|N|O|1995-12-06|1996-01-01|1996-01-02|DELIVER IN PERSON|AIR| unusual instructions. thinly e
22784|3445|O|144474.83|1995-05-25|5-LOW|Clerk#000000705|0|nd the even foxes. ironic r|22784|16022|289|1|3.00|2814.06|0.04|0.04|N|O|1995-07-28|1995-07-31|1995-08-17|NONE|AIR|quickly even accounts sleep quic
22947|1748|F|224125.47|1994-12-19|5-LOW|Clerk#000000208|0|cajole slyly across the slyly bold dependencies. as|22947|2196|953|2|48.00|52713.12|0.05|0.07|R|F|1995-03-16|1995-03-18|1995-03-28|COLLECT COD|RAIL| mold. accounts against the sly
23078|1691|O|173786.24|1995-09-16|3-MEDIUM|Clerk#000000461|0|ter the slyly final requests. r|23078|12557|558|7|23.00|33799.65|0.07|0.03|N|O|1995-11-05|1995-11-15|1995-11-25|COLLECT COD|AIR|express theodolites. slyly special
23235|2071|O|233072.90|1995-07-06|2-HIGH|Clerk#000000385|0|pinto beans. fluffily ironic deposits wake furiously. deposi|23235|8170|429|5|27.00|29110.59|0.05|0.03|N|O|1995-08-14|1995-08-21|1995-09-04|TAKE BACK RETURN|AIR|tes wake carefully regu
23431|10780|O|124230.61|1995-06-12|1-URGENT|Clerk#000000877|0|sleep quickly slyly bold sentiments. express depos|23431|210|461|3|12.00|13322.52|0.01|0.05|N|O|1995-06-22|1995-07-12|1995-07-17|NONE|RAIL|yly regular
23557|11423|O|288434.59|1995-06-01|4-NOT SPECIFIED|Clerk#000000132|0|uriously final theodol|23557|16095|894|3|45.00|45499.05|0.01|0.07|N|O|1995-06-21|1995-07-01|1995-07-06|TAKE BACK RETURN|AIR|ly express re
23557|11423|O|288434.59|1995-06-01|4-NOT SPECIFIED|Clerk#000000132|0|uriously final theodol|23557|18085|86|5|13.00|13040.04|0.08|0.01|N|O|1995-08-18|1995-08-30|1995-09-15|TAKE BACK RETURN|AIR|ang. carefully bold requests hinder 
23940|10246|F|97955.54|1995-04-09|3-MEDIUM|Clerk#000000659|0| ideas sleep furiously among t|23940|17121|122|1|35.00|36334.20|0.10|0.03|R|F|1995-04-24|1995-05-11|1995-05-21|DELIVER IN PERSON|AIR|lly furiously final pack
24326|2306|O|244406.03|1995-09-30|1-URGENT|Clerk#000000250|0| deposits among the furiously enticing deposits integrate furiously fur|24326|10833|354|1|44.00|76728.52|0.01|0.02|N|O|1995-12-06|1995-12-07|1995-12-17|DELIVER IN PERSON|AIR| even accounts are: regular excuses h
24388|2845|F|97962.37|1995-01-27|1-URGENT|Clerk#000000146|0| ironic accounts sleep quic|24388|14118|911|3|7.00|7224.77|0.10|0.04|A|F|1995-02-17|1995-03-05|1995-03-17|COLLECT COD|RAIL|ar excuses. quickly unusual deposits
24645|5320|F|81266.46|1994-11-20|3-MEDIUM|Clerk#000000017|0| even instructions. ironic requests above the carefully|24645|10463|724|2|29.00|39830.34|0.05|0.06|A|F|1995-01-23|1995-02-12|1995-02-15|NONE|AIR|unts are carefully: blithely 
24805|5900|F|79201.09|1994-11-04|3-MEDIUM|Clerk#000000884|0|es! brave accounts nag above the slyly quiet accounts. carefully re|24805|19202|741|2|43.00|48211.60|0.01|0.04|A|F|1995-01-22|1995-02-01|1995-02-07|NONE|RAIL|unts. always regular asymptotes wake. s
26147|6493|P|164065.17|1995-04-22|2-HIGH|Clerk#000000830|0|ounts. packages after the slyly regular dolphins cajole silent|26147|12551|552|4|45.00|65859.75|0.05|0.06|N|O|1995-06-29|1995-06-30|1995-07-27|COLLECT COD|RAIL|egular deposits? regu
26180|5110|F|200843.77|1994-12-06|3-MEDIUM|Clerk#000000186|0| the dogged theodolites. blithely pending foxes serve along the b|26180|6670|671|4|28.00|44146.76|0.05|0.04|A|F|1994-12-25|1995-01-07|1995-01-19|NONE|AIR|t among the furi
26243|142|O|171603.09|1995-07-17|5-LOW|Clerk#000000702|0|lly express requests serve carefully about |26243|3926|927|2|22.00|40258.24|0.00|0.01|N|O|1995-09-18|1995-09-26|1995-10-09|NONE|RAIL|yly. ideas sleep flu
26245|11638|F|29111.41|1995-01-19|3-MEDIUM|Clerk#000000104|0|onic foxes. ironic accounts are furiously. ironic account|26245|1167|670|1|27.00|28840.32|0.02|0.03|R|F|1995-02-18|1995-03-11|1995-03-16|TAKE BACK RETURN|AIR|ic instructions
26311|4445|O|157496.25|1995-10-31|3-MEDIUM|Clerk#000000458|0| to the pending accounts. even, ironic instructions are fluff|26311|906|407|3|24.00|43365.60|0.07|0.00|N|O|1995-12-22|1996-01-07|1996-01-14|NONE|RAIL| furiously pe
26432|11434|F|143174.77|1994-12-31|5-LOW|Clerk#000000709|0|uriously special excuses. final excuses over the packag|26432|9902|903|4|31.00|56168.90|0.00|0.08|R|F|1995-02-02|1995-02-10|1995-02-22|NONE|AIR|ges. blithely final packages after the r
26851|1795|O|30819.52|1995-07-25|2-HIGH|Clerk#000000090|0|ins. final, ironic theodolites alongside of the final requests boost |26851|6924|437|3|11.00|20140.12|0.08|0.07|N|O|1995-10-09|1995-10-22|1995-10-30|TAKE BACK RETURN|RAIL|telets affix ideas. blithely special ideas 
27364|2245|P|281916.71|1995-05-21|3-MEDIUM|Clerk#000000951|0|s sleep above the regularly|27364|15138|669|1|50.00|52656.50|0.10|0.07|N|O|1995-08-04|1995-08-08|1995-08-26|NONE|RAIL|ng theodolites run car
27589|2789|O|102286.12|1995-09-16|3-MEDIUM|Clerk#000000163|0|l platelets. carefully ironic acco|27589|18188|457|3|12.00|13274.16|0.09|0.01|N|O|1995-10-08|1995-10-20|1995-10-24|DELIVER IN PERSON|AIR|sts affix furiously bold foxes. 
27683|668|O|73043.36|1995-10-08|2-HIGH|Clerk#000000145|0|s haggle according to the furiously|27683|12604|605|3|39.00|59147.40|0.04|0.03|N|O|1995-12-15|1995-12-29|1996-01-14|COLLECT COD|RAIL|fully special requests. i
28037|11515|F|83308.34|1994-12-13|2-HIGH|Clerk#000000301|0|nusual dinos. theodolites sleep carefully stealthily ironic de|28037|11154|677|4|10.00|10651.50|0.09|0.06|A|F|1995-02-01|1995-02-03|1995-02-28|DELIVER IN PERSON|AIR|ts. even requests acco
28737|7942|O|201511.87|1995-10-04|1-URGENT|Clerk#000000436|0| requests. braids cajole ca|28737|16147|680|5|24.00|25515.36|0.05|0.08|N|O|1995-12-05|1995-12-24|1996-01-03|COLLECT COD|RAIL|ccording to th
29152|6910|O|199576.53|1995-07-24|5-LOW|Clerk#000000557|0|lithely even theodolites. furio|29152|1553|56|1|23.00|33454.65|0.01|0.02|N|O|1995-08-18|1995-09-02|1995-09-05|COLLECT COD|AIR| pinto beans doubt alongs
29152|6910|O|199576.53|1995-07-24|5-LOW|Clerk#000000557|0|lithely even theodolites. furio|29152|11183|967|2|6.00|6565.08|0.10|0.08|N|O|1995-08-26|1995-08-30|1995-09-09|DELIVER IN PERSON|AIR|unusual, bold realms sleep accoun
29152|6910|O|199576.53|1995-07-24|5-LOW|Clerk#000000557|0|lithely even theodolites. furio|29152|6359|872|3|37.00|46817.95|0.01|0.03|N|O|1995-09-12|1995-09-16|1995-09-25|NONE|RAIL|s cajole blithely. furiously final
29158|6655|O|452805.02|1995-10-21|2-HIGH|Clerk#000000525|0|lessly quiet deposits across the furiously ironi|29158|2922|923|1|42.00|76646.64|0.06|0.02|N|O|1995-10-24|1995-11-21|1995-11-22|NONE|RAIL|s foxes. final frays 
29318|3764|O|177706.50|1995-07-01|4-NOT SPECIFIED|Clerk#000000155|0|. furiously even packag|29318|4990|499|1|47.00|89064.53|0.05|0.03|N|O|1995-09-15|1995-09-25|1995-10-14|COLLECT COD|RAIL|e furiously a
29569|14672|O|275769.13|1995-07-04|2-HIGH|Clerk#000000513|0|d foxes are after the blithely even|29569|18713|982|4|2.00|3263.42|0.05|0.01|N|O|1995-08-26|1995-08-28|1995-08-29|TAKE BACK RETURN|RAIL|ged accounts wake a
30144|7682|O|167886.68|1995-08-07|5-LOW|Clerk#000000538|0|efully ironic excuses cajole quickly. slyly|30144|13116|117|4|23.00|23669.53|0.00|0.01|N|O|1995-10-22|1995-10-25|1995-11-03|DELIVER IN PERSON|AIR|ilent requests wake quickly across the fluf
30566|2224|O|82736.85|1995-07-02|5-LOW|Clerk#000000877|0|r packages. quickly even asymptotes acros|30566|6254|511|4|7.00|8121.75|0.08|0.06|N|O|1995-08-25|1995-09-08|1995-09-23|TAKE BACK RETURN|RAIL| to the slyly
30656|6556|P|317359.60|1995-04-04|3-MEDIUM|Clerk#000000132|0|ording to the express, final accounts. ironic deposits cajole blithel|30656|13918|919|6|34.00|62284.94|0.04|0.01|N|O|1995-06-28|1995-07-02|1995-07-06|DELIVER IN PERSON|AIR|quests. pinto beans use b
30657|10198|P|48815.76|1995-05-11|2-HIGH|Clerk#000000108|0|regular foxes integrat|30657|17055|857|3|2.00|1944.10|0.05|0.08|N|F|1995-06-08|1995-07-03|1995-07-08|COLLECT COD|RAIL|dolites cajole quickly blithel
30658|4294|P|199912.93|1995-03-27|3-MEDIUM|Clerk#000000908|0| blithely according to the blithely unusual deposits. carefully pe|30658|16983|516|4|24.00|45599.52|0.07|0.05|R|F|1995-05-08|1995-05-20|1995-06-04|TAKE BACK RETURN|RAIL|ly at the a
31075|5705|O|72172.92|1995-08-27|2-HIGH|Clerk#000000952|0|yly after the carefully regular requests. fluffily ironi|31075|5310|821|2|26.00|31598.06|0.01|0.06|N|O|1995-11-17|1995-11-23|1995-12-04|TAKE BACK RETURN|AIR|ly pending accounts. quickly final
31233|1969|O|207302.09|1995-09-25|5-LOW|Clerk#000000042|0|jole across the silent, unusual foxes. blithely ironic requests use s|31233|4940|941|1|15.00|27674.10|0.03|0.06|N|O|1995-11-03|1995-11-06|1995-11-25|TAKE BACK RETURN|AIR|y ironic requests. reque
31429|14581|O|29719.78|1995-10-30|2-HIGH|Clerk#000000450|0|arefully carefully regular accounts. furiously ir|31429|18698|503|1|5.00|8083.45|0.07|0.00|N|O|1995-12-21|1995-12-22|1996-01-01|NONE|AIR|pecial depos
31618|4867|O|202443.81|1995-07-12|1-URGENT|Clerk#000000431|0|sly unusual requests use. ironic ideas cajole evenly pending pint|31618|19080|81|1|4.00|3996.32|0.04|0.03|N|O|1995-09-23|1995-09-30|1995-10-09|COLLECT COD|RAIL| slyly ironic deposits according to th
31749|7091|O|179225.95|1995-06-07|1-URGENT|Clerk#000000197|0|c deposits cajole carefully regular deposits. regular ac|31749|13979|980|1|24.00|45431.28|0.07|0.06|N|O|1995-08-31|1995-09-01|1995-09-13|COLLECT COD|AIR|ver about the slyly final requests.
31749|7091|O|179225.95|1995-06-07|1-URGENT|Clerk#000000197|0|c deposits cajole carefully regular deposits. regular ac|31749|8558|333|6|28.00|41063.40|0.04|0.04|N|O|1995-07-11|1995-07-12|1995-07-20|TAKE BACK RETURN|AIR| beans are ironically i
31751|14024|P|166818.15|1995-05-27|2-HIGH|Clerk#000000204|0|es. final requests boost quickly. furiously unusual theodolite|31751|7014|786|6|8.00|7368.08|0.05|0.00|N|O|1995-08-09|1995-08-15|1995-08-24|TAKE BACK RETURN|RAIL|totes. final pinto beans s
31777|7291|O|71146.73|1995-10-20|4-NOT SPECIFIED|Clerk#000000077|0|y quickly ironic packages.|31777|9064|65|1|35.00|34057.10|0.09|0.05|N|O|1995-11-25|1995-12-03|1995-12-17|DELIVER IN PERSON|AIR|nts are fu
31812|12361|O|179651.03|1995-08-01|2-HIGH|Clerk#000000695|0|ithely pending platelets. regular, regular plate|31812|8111|112|3|1.00|1019.11|0.07|0.02|N|O|1995-09-17|1995-09-26|1995-10-05|COLLECT COD|RAIL| ironic, ironic sentiments affix
32452|11191|O|170896.73|1995-07-19|3-MEDIUM|Clerk#000000351|0|s the carefully ironic dependencies sleep carefully carefully|32452|13960|750|1|44.00|82454.24|0.06|0.03|N|O|1995-10-04|1995-10-10|1995-10-22|COLLECT COD|AIR|o beans are furiou
32454|12586|F|86628.62|1995-04-01|1-URGENT|Clerk#000000378|0| unusual, ironic accounts are finally ruthlessly final pinto beans.|32454|4488|743|2|12.00|16709.76|0.10|0.03|N|F|1995-05-21|1995-06-04|1995-06-18|TAKE BACK RETURN|RAIL|ely ironic packa
32965|2216|P|301013.06|1995-02-25|2-HIGH|Clerk#000000790|0|lyly regular package|32965|17110|645|5|20.00|20542.20|0.09|0.01|R|F|1995-03-22|1995-03-29|1995-03-31|COLLECT COD|RAIL|nic asymptotes are across the
33088|7753|F|176613.89|1994-12-24|4-NOT SPECIFIED|Clerk#000000525|0| around the regular, final ideas. furiously final instructions cajole f|33088|10073|854|2|23.00|22610.61|0.10|0.02|R|F|1995-02-26|1995-02-28|1995-03-07|NONE|RAIL|onic, express pinto beans. silent, iro
33088|7753|F|176613.89|1994-12-24|4-NOT SPECIFIED|Clerk#000000525|0| around the regular, final ideas. furiously final instructions cajole f|33088|15893|159|3|44.00|79591.16|0.03|0.00|A|F|1995-03-14|1995-03-19|1995-03-25|TAKE BACK RETURN|AIR|onic deposits. quickly special packages 
33665|2246|P|117595.73|1995-05-26|5-LOW|Clerk#000000032|0| the final forges. quickly unusual requests snooze. fur|33665|14000|264|2|46.00|42044.00|0.01|0.02|N|O|1995-08-02|1995-08-18|1995-08-30|TAKE BACK RETURN|AIR|ly ruthless packages abo
33700|9343|P|119111.80|1995-04-08|5-LOW|Clerk#000000666|0|lphins are slyly slyly express platelets. requests use|33700|5201|712|1|22.00|24336.40|0.01|0.02|A|F|1995-05-16|1995-05-17|1995-05-21|TAKE BACK RETURN|RAIL|y unusual packages haggle against the 
33830|11498|P|136184.23|1995-05-10|3-MEDIUM|Clerk#000000958|0|elets use quickly. deposits wake slyly even platelets. sometimes reg|33830|15441|442|6|19.00|25772.36|0.05|0.08|N|O|1995-07-07|1995-07-11|1995-07-26|DELIVER IN PERSON|RAIL|ound the blithely express accounts. slyl
33987|9592|O|208937.01|1995-10-26|2-HIGH|Clerk#000000434|0|fter the ironic packages. furiou|33987|19406|214|4|22.00|29158.80|0.04|0.07|N|O|1995-12-14|1995-12-25|1996-01-13|NONE|RAIL|ven requests hang carefull
34048|11138|P|265731.75|1995-03-29|5-LOW|Clerk#000000902|0|carefully final deposits. unusual requests slee|34048|10047|48|2|1.00|957.04|0.00|0.01|N|F|1995-05-21|1995-06-12|1995-06-20|COLLECT COD|RAIL|even deposits. carefull
34151|4264|O|286810.45|1995-09-10|4-NOT SPECIFIED|Clerk#000000387|0|ns. careful accounts wake idly through the furiously ironic deposits. blithel|34151|6860|629|1|12.00|21202.32|0.05|0.02|N|O|1995-10-03|1995-10-12|1995-10-17|TAKE BACK RETURN|RAIL|fluffily ir
34243|4921|F|196024.32|1995-02-12|2-HIGH|Clerk#000000062|0|es. fluffily regular excuses against the packages sleep slyly furiously pe|34243|8122|897|5|44.00|45325.28|0.10|0.08|R|F|1995-04-30|1995-05-13|1995-05-25|NONE|RAIL|ously furiously
34596|899|O|175769.74|1995-09-01|1-URGENT|Clerk#000000824|0| slyly pending requests after t|34596|16027|560|6|30.00|28290.60|0.06|0.01|N|O|1995-10-09|1995-10-19|1995-10-28|COLLECT COD|RAIL| special requests cajole carefully
34881|12733|F|247810.81|1995-02-08|3-MEDIUM|Clerk#000000659|0|the final ideas. idl|34881|14020|549|2|12.00|11208.24|0.02|0.01|A|F|1995-02-28|1995-03-18|1995-03-19|NONE|AIR|uests according to the slyly sly reque
34883|2855|F|190402.44|1994-11-05|1-URGENT|Clerk#000000456|0|nts. furiously unusual requests|34883|1824|76|4|44.00|75936.08|0.10|0.07|A|F|1995-01-09|1995-01-10|1995-01-12|NONE|RAIL|onic instructions. furiously even dep
34917|3040|O|34421.22|1995-10-17|2-HIGH|Clerk#000000895|0| carefully before the ironic, regular deposits. pendin|34917|19238|777|1|31.00|35874.13|0.05|0.01|N|O|1995-12-25|1995-12-28|1996-01-17|COLLECT COD|RAIL|s wake carefully. even accounts s
35296|13571|F|91537.32|1995-03-22|5-LOW|Clerk#000000577|0| furious requests across|35296|12472|997|4|24.00|33227.28|0.00|0.00|R|F|1995-04-21|1995-05-08|1995-05-10|NONE|AIR| poach slyly atop the slyly bold ac
35360|2396|P|305268.28|1995-04-19|1-URGENT|Clerk#000000350|0| decoys use pinto beans. quickly special|35360|9078|338|4|34.00|33560.38|0.09|0.04|N|F|1995-06-17|1995-06-23|1995-07-08|NONE|RAIL| sleep silently
35555|11989|P|110806.20|1995-03-05|3-MEDIUM|Clerk#000000147|0|uickly regular foxes. carefully ironic deposits wake slyly agai|35555|19376|915|4|38.00|49224.06|0.08|0.05|R|F|1995-03-26|1995-04-10|1995-04-16|TAKE BACK RETURN|RAIL|ven deposits according to the carefully 
35649|3248|O|132717.90|1995-10-10|3-MEDIUM|Clerk#000000470|0|iously bold deposits after the carefully ironic pinto beans|35649|3492|252|1|35.00|48842.15|0.06|0.08|N|O|1995-11-18|1995-11-27|1995-12-08|COLLECT COD|AIR|to beans wake furiously about the slyl
36133|217|O|109837.36|1995-08-21|3-MEDIUM|Clerk#000000488|0| platelets use blithely quickly ironic pi|36133|15701|702|2|15.00|24250.50|0.04|0.03|N|O|1995-11-03|1995-11-04|1995-11-30|NONE|AIR|ending requests aff
36258|1457|F|147098.46|1995-02-10|3-MEDIUM|Clerk#000000386|0|ly pending deposits: unusual, final requests ab|36258|19669|208|1|42.00|66723.72|0.00|0.00|A|F|1995-03-24|1995-03-27|1995-04-19|TAKE BACK RETURN|RAIL|ages. ironic excuses after the furiously
36416|4456|F|191623.60|1994-12-01|5-LOW|Clerk#000000829|0|ic foxes are blithely regular theodolites. blithely|36416|9053|831|1|39.00|37519.95|0.00|0.08|R|F|1995-01-01|1995-01-04|1995-01-18|COLLECT COD|AIR|le carefully pending excuses. carefully iro
36676|3797|O|144152.43|1995-08-26|4-NOT SPECIFIED|Clerk#000000873|0|after the carefully regular requests. unusual |36676|10603|124|3|20.00|30272.00|0.10|0.04|N|O|1995-10-02|1995-10-03|1995-10-16|TAKE BACK RETURN|AIR|regular requests 
36676|3797|O|144152.43|1995-08-26|4-NOT SPECIFIED|Clerk#000000873|0|after the carefully regular requests. unusual |36676|12880|143|4|1.00|1792.88|0.00|0.02|N|O|1995-11-04|1995-11-14|1995-12-02|NONE|RAIL|y bold, regular platelets-- quickly express
36930|13906|O|245944.96|1995-09-29|3-MEDIUM|Clerk#000000993|0|gular, careful accounts. even accounts maintain slyly. slyly u|36930|15685|216|5|37.00|59225.16|0.00|0.02|N|O|1995-12-01|1995-12-07|1995-12-19|DELIVER IN PERSON|RAIL|thrash unusu
36934|493|F|117809.14|1994-12-23|3-MEDIUM|Clerk#000000799|0|theodolites integrate fluffily s|36934|1542|45|2|8.00|11548.32|0.09|0.00|A|F|1995-01-03|1995-01-26|1995-01-28|COLLECT COD|RAIL|xpress, fluffy instructions. furiously bo
36994|11104|O|293807.23|1995-06-18|5-LOW|Clerk#000000143|0|unts nag bravely. ironic ideas are f|36994|12809|810|6|14.00|24105.20|0.08|0.05|N|O|1995-08-13|1995-08-30|1995-09-02|TAKE BACK RETURN|RAIL|ages cajole. caref
37223|4012|O|201597.24|1995-11-11|5-LOW|Clerk#000000802|0|ys use around the quickly special dolphins. quickly ironic deposits until |37223|4348|349|3|1.00|1252.34|0.10|0.05|N|O|1995-12-15|1996-01-06|1996-01-13|NONE|RAIL|ke stealthy depo
37380|5789|P|213435.70|1995-04-02|1-URGENT|Clerk#000000831|0|ent courts serve blithely |37380|19975|783|5|2.00|3789.94|0.03|0.06|N|O|1995-06-25|1995-06-28|1995-07-08|COLLECT COD|AIR| detect never blithel
37383|13994|O|210898.01|1995-06-15|3-MEDIUM|Clerk#000000225|0|refully thinly final|37383|12846|847|4|33.00|58041.72|0.04|0.02|N|O|1995-09-08|1995-09-09|1995-10-02|TAKE BACK RETURN|RAIL|slyly unusual deposi
37414|3479|O|59886.33|1995-09-10|5-LOW|Clerk#000000015|0|eodolites. silent packages detect. carefu|37414|10077|78|1|21.00|20728.47|0.03|0.06|N|O|1995-11-14|1995-11-24|1995-12-09|COLLECT COD|RAIL|s wake slyly about the even pa
37826|7288|P|190364.65|1995-04-24|3-MEDIUM|Clerk#000000480|0| blithely finally even packages. packages integrate |37826|2228|985|4|31.00|35036.82|0.08|0.08|R|F|1995-05-24|1995-05-26|1995-06-07|DELIVER IN PERSON|AIR|slyly around th
37991|3454|F|69404.09|1995-02-22|4-NOT SPECIFIED|Clerk#000000460|0|ly even instructions. regular realms haggle across the accou|37991|10359|140|3|21.00|26656.35|0.08|0.01|A|F|1995-04-20|1995-04-22|1995-05-15|NONE|AIR|tes. even, unusual instructions maintain
38343|4121|O|44085.19|1995-09-22|3-MEDIUM|Clerk#000000473|0|lyly final accounts hinder about the packages. furi|38343|12021|284|1|50.00|46651.00|0.10|0.05|N|O|1995-11-25|1995-12-02|1995-12-11|TAKE BACK RETURN|AIR|lyly pending, final inst
38466|14101|O|136475.59|1995-08-18|1-URGENT|Clerk#000000839|0| the regular platelets. quickly regular deposits are silent requests; blithel|38466|16211|744|4|17.00|19162.57|0.01|0.07|N|O|1995-09-15|1995-09-27|1995-09-29|COLLECT COD|RAIL|kages boost. slyly regular 
38466|14101|O|136475.59|1995-08-18|1-URGENT|Clerk#000000839|0| the regular platelets. quickly regular deposits are silent requests; blithel|38466|12231|18|6|15.00|17148.45|0.00|0.08|N|O|1995-10-11|1995-10-31|1995-11-08|NONE|RAIL|ts sleep alongside of
38787|13486|O|188525.62|1995-08-06|5-LOW|Clerk#000000106|0|n requests cajole fluffily. quickly ironic packages eat after the pending|38787|2030|535|1|42.00|39145.26|0.02|0.08|N|O|1995-10-18|1995-10-25|1995-11-15|COLLECT COD|AIR|the regular packages: furiously 
